43.65944531,14.80623422,0
48.55935405,14.8361398,0
53.45820668,14.94217265,0
58.35482051,15.12430717,0
63.24801341,15.3824994,0
68.13660407,15.71668699,0
73.01941229,16.12678927,0
77.89525927,16.61270724,0
82.76296788,17.17432357,0
87.62136296,17.81150269,0
92.4692716,18.52409078,0
97.30552343,19.31191579,0
102.12895088,20.17478753,0
106.93838948,21.11249769,0
111.73267814,22.12481989,0
116.51065943,23.21150973,0
121.27117985,24.37230486,0
126.01309012,25.60692505,0
130.73524545,26.91507223,0
135.43650582,28.2964306,0
140.11573625,29.75066666,0
144.7718071,31.27742934,0
149.40359429,32.87635004,0
154.00997962,34.54704277,0
158.58985103,36.28910416,0
163.14210283,38.10211367,0
167.66563604,39.9856336,0
172.15935858,41.93920922,0
176.62218559,43.96236891,0
181.05303964,46.05462424,0
185.45085105,48.21547009,0
189.8145581,50.4443848,0
194.14310731,52.74083027,0
198.43545368,55.10425208,0
202.69056095,57.53407966,0
206.90740187,60.02972641,0
211.0849584,62.59058982,0
215.222222,65.21605166,0
219.31819386,67.90547809,0
223.37188513,70.65821983,0
227.38231718,73.47361231,0
231.3485218,76.35097585,0
235.26954147,79.28961579,0
239.1444296,82.28882269,0
242.9722507,85.34787248,0
246.75208066,88.46602665,0
250.48300697,91.64253242,0
254.1641289,94.87662291,0
257.79455776,98.16751736,0
261.3734171,101.51442128,0
264.89984291,104.91652666,0
268.37298383,108.37301218,0
271.7920014,111.88304335,0
275.15607019,115.44577281,0
278.46437805,119.06034043,0
281.7161263,122.72587359,0
284.91052989,126.44148736,0
288.04681764,130.20628472,0
291.12423238,134.01935678,0
294.14203118,137.87978298,0
297.09948547,141.78663134,0
299.99588126,145.73895868,0
302.83051932,149.73581082,0
305.60271531,153.77622286,0
308.31179996,157.85921935,0
310.95711925,161.98381458,0
313.53803455,166.14901281,0
316.05392277,170.35380845,0
318.50417654,174.59718641,0
320.8882043,178.87812224,0
323.20548655,183.19555238,0
643.94192692,330.51718433,9
639.20008247,331.75205729,9
634.43785324,332.90582188,9
629.65662645,333.97814201,9
624.85779489,334.9687053,9
620.04275645,335.87722321,9
615.21291375,336.70343109,9
610.36967371,337.44708826,9
605.51444719,338.1079781,9
600.64864849,338.68590808,9
595.77369504,339.18070987,9
590.89100689,339.59223931,9
586.00200639,339.92037654,9
581.10811768,340.16502596,9
576.21076637,340.32611632,9
571.31137904,340.40360068,9
566.41138289,340.39745647,9
561.51220529,340.30768549,9
556.61527336,340.13431388,9
551.72201359,339.87739215,9
546.83385137,339.53699514,9
541.95221063,339.113222,9
537.07851339,338.60619618,9
532.21417935,338.01606539,9
527.36062549,337.34300151,9
522.51926566,336.58720062,9
517.69151014,335.74888288,9
512.87876525,334.82829249,9
508.08243295,333.82569763,9
503.30391041,332.74139033,9
498.54458961,331.57568648,9
493.80585693,330.32892562,9
489.08909278,329.00147095,9
484.39567113,327.59370916,9
479.72695919,326.10605031,9
475.08431696,324.53892777,9
470.46909682,322.89279804,9
465.88264319,321.16814064,9
461.32629212,319.36545796,9
456.80137085,317.48527512,9
452.3091975,315.52813981,9
447.85108064,313.49462216,9
443.42831891,311.38531452,9
439.04220067,309.20083133,9
434.6940036,306.94180894,9
430.38499431,304.60890539,9
426.11642802,302.20280027,9
421.88954818,299.72419446,9
417.70558605,297.17380999,9
413.56576044,294.55238978,9
409.47127727,291.86069745,9
405.42332927,289.0995171,9
401.4230956,286.26965304,9
397.47174152,283.37192963,9
393.57041807,280.40719096,9
389.72026171,277.37630067,9
385.92239397,274.28014166,9
382.17792119,271.11961582,9
378.48793411,267.89564383,9
374.85350765,264.60916482,9
371.27570049,261.26113615,9
367.75555487,257.8525331,9
364.29409618,254.38434859,9
360.89233277,250.8575929,9
357.55125556,247.27329338,9
354.2718378,243.63249413,9
351.05503479,239.93625572,9
347.90178359,236.18565485,9
344.81300273,232.38178409,9
341.78959198,228.52575149,9
338.83243205,224.61868032,9
335.94238436,220.6617087,9
333.12029079,216.6559893,9
330.36697341,212.60268899,9
327.68323426,208.50298849,9
325.06985512,204.35808205,9
322.52759725,200.16917706,9
320.05720123,195.93749377,9
317.65938667,191.66426486,9
315.33485206,187.35073512,9
